,SiteName,SiteId,County,TWD67Lon,TWD67Lat
244,左鎮,C0X200,臺南市,120.4004,23.0585
245,吉東,C1V570,高雄市,120.5373,22.856
246,溪南(特),C1V580,高雄市,120.7804,23.0868
247,藤枝,C1V600,高雄市,120.7489,23.0738
248,新發,C1V590,高雄市,120.638,23.0588
249,南豐,88H890,南投縣,121.0805,24.0191
250,大鳥,88S670,臺東縣,120.9024,22.3916
251,來義,88R460,屏東縣,120.6681,22.5277
252,集來,88V560,高雄市,120.5848,23.0304
253,羌黃坑,88O950,臺南市,120.5289,23.0739
254,大漢山,C1R440,屏東縣,120.7451,22.4059
255,豐南,C1S850,花蓮縣,121.2543,23.124
256,富源,C0Z080,花蓮縣,121.3704,23.5898
257,三棧,C1Z090,花蓮縣,121.597,24.1188
258,南美山,C1S870,臺東縣,121.3743,23.1521
259,利嘉,C1S860,臺東縣,121.0424,22.8111
260,新社,C0F9V0,臺中市,120.8075,24.2016
261,龍井,C0F9R0,臺中市,120.5208,24.1863
262,外埔,C0F9Q0,臺中市,120.6975,24.3496
263,清水,C0F9P0,臺中市,120.5541,24.314
264,潭子,C0F9O0,臺中市,120.6958,24.2148
265,豐原,C0F9M0,臺中市,120.7123,24.2563
266,后里,C0F9L0,臺中市,120.7215,24.3121
267,大安,C0F9K0,臺中市,120.58,24.3474
268,南屯,C0F9U0,臺中市,120.6301,24.1389
269,西屯,C0F9T0,臺中市,120.6329,24.182
270,烏日,C0F9S0,臺中市,120.6159,24.1088
